timestamp,platform,run_id,pss_mb,cpu_percent
1788956648,IONIC,ses_04r_S1,111.88,87.0
1788956649,IONIC,ses_04r_S1,158.00,10.0
1788956651,IONIC,ses_04r_S1,142.87,0.0
1788956652,IONIC,ses_04r_S1,142.80,10.0
1788956653,IONIC,ses_04r_S1,144.51,54.5
1788956654,IONIC,ses_04r_S1,141.53,20.0
1788956657,IONIC,ses_04r_S1,105.56,109
1788956658,IONIC,ses_04r_S1,158.39,30.0
1788956659,IONIC,ses_04r_S1,149.93,20.0
1788956661,IONIC,ses_04r_S1,145.76,13.3
1788956662,IONIC,ses_04r_S1,153.49,10.0
1788956663,IONIC,ses_04r_S1,153.46,0
1788956665,IONIC,ses_04r_S1,27.05,196
1788956666,IONIC,ses_04r_S1,146.92,13.3
1788956667,IONIC,ses_04r_S1,157.06,16.6
1788956668,IONIC,ses_04r_S1,146.73,10.0
1788956669,IONIC,ses_04r_S1,154.34,0.0
1788956672,IONIC,ses_04r_S1,107.46,118
1788956674,IONIC,ses_04r_S1,160.87,33.3
1788956675,IONIC,ses_04r_S1,149.46,16.6
1788956676,IONIC,ses_04r_S1,149.92,60.0
1788956677,IONIC,ses_04r_S1,157.84,13.3
1788956680,IONIC,ses_04r_S1,107.27,131
1788956681,IONIC,ses_04r_S1,167.51,46.6
1788956682,IONIC,ses_04r_S1,160.38,16.6
1788956684,IONIC,ses_04r_S1,153.87,16.6
1788956685,IONIC,ses_04r_S1,161.71,0.0
1788956686,IONIC,ses_04r_S1,161.45,0
1788956687,IONIC,ses_04r_S1,58.24,102
1788956689,IONIC,ses_04r_S1,161.94,16.6
1788956690,IONIC,ses_04r_S1,156.90,10.0
1788956691,IONIC,ses_04r_S1,149.90,61.7
1788956692,IONIC,ses_04r_S1,156.55,16.6
1788956695,IONIC,ses_04r_S1,111.62,100
1788956696,IONIC,ses_04r_S1,165.70,0.0
1788956697,IONIC,ses_04r_S1,155.55,6.6
1788956698,IONIC,ses_04r_S1,151.45,106
1788956700,IONIC,ses_04r_S1,159.54,10.0
1788956703,IONIC,ses_04r_S1,107.27,140
1788956704,IONIC,ses_04r_S1,161.33,46.6
1788956705,IONIC,ses_04r_S1,155.29,16.6
1788956706,IONIC,ses_04r_S1,149.11,16.6
1788956707,IONIC,ses_04r_S1,157.17,3.3
1788956710,IONIC,ses_04r_S1,108.59,124
1788956711,IONIC,ses_04r_S1,159.08,46.6
1788956713,IONIC,ses_04r_S1,153.04,20.0
1788956714,IONIC,ses_04r_S1,147.47,36.6
1788956715,IONIC,ses_04r_S1,155.22,3.3
1788956718,IONIC,ses_04r_S1,105.65,138
1788956719,IONIC,ses_04r_S1,157.87,64.5
1788956720,IONIC,ses_04r_S1,154.05,16.6
1788956722,IONIC,ses_04r_S1,146.79,16.6
1788956723,IONIC,ses_04r_S1,154.53,20.0
1788956724,IONIC,ses_04r_S1,154.67,0
1788956726,IONIC,ses_04r_S1,60.75,63.6
1788956727,IONIC,ses_04r_S1,162.49,13.3
1788956728,IONIC,ses_04r_S1,156.59,10.0
1788956729,IONIC,ses_04r_S1,146.65,54.2
1788956731,IONIC,ses_04r_S1,154.30,16.6
1788956733,IONIC,ses_04r_S1,108.05,117
1788956734,IONIC,ses_04r_S1,156.99,32.2
1788956736,IONIC,ses_04r_S1,149.25,16.6
1788956737,IONIC,ses_04r_S1,145.14,43.3
1788956738,IONIC,ses_04r_S1,152.88,3.3
1788956741,IONIC,ses_04r_S1,102.97,135
1788956742,IONIC,ses_04r_S1,162.98,50.0
1788956743,IONIC,ses_04r_S1,158.38,3.3
1788956745,IONIC,ses_04r_S1,149.97,13.3
1788956746,IONIC,ses_04r_S1,157.83,23.3
1788956747,IONIC,ses_04r_S1,157.80,0
